filepath,folder,filename,extension,size_bytes,modified_at,classification,is_analytics,is_finance,is_test
finance/wacc_v14.py,finance,wacc_v14.py,.py,19971,2025-12-04T06:07:03.972310,other,False,True,False
finance/scenario_config.py,finance,scenario_config.py,.py,3011,2025-11-29T08:55:33.991108,other,False,True,False
finance/equity_v14.py,finance,equity_v14.py,.py,12683,2025-12-04T17:01:33.229633,equity,False,True,False
finance/cashflow_v14.py,finance,cashflow_v14.py,.py,19507,2025-12-09T19:13:28.487754,cashflow,False,True,False
finance/debt_v14.py,finance,debt_v14.py,.py,16596,2025-12-04T10:37:07.170502,debt,False,True,False
finance/__init__.py,finance,__init__.py,.py,4007,2025-11-29T09:01:09.709288,other,False,True,False
finance/cashflow_v14_tax.py,finance,cashflow_v14_tax.py,.py,14701,2025-12-09T19:13:28.488618,cashflow,False,True,False
finance/cashflow_v14_fx.py,finance,cashflow_v14_fx.py,.py,4655,2025-12-12T08:16:26.768445,cashflow,False,True,False
finance/epc_helper_v14.py,finance,epc_helper_v14.py,.py,15378,2025-12-05T08:53:42.320368,other,False,True,False
finance/cashflow_v14_params.py,finance,cashflow_v14_params.py,.py,18667,2025-12-08T18:05:33.547427,cashflow,False,True,False
finance/cashflow_v14_contracts.py,finance,cashflow_v14_contracts.py,.py,1528,2025-12-08T12:29:56.079804,contract,False,True,False
finance/irr_config.py,finance,irr_config.py,.py,4641,2025-11-29T08:55:33.991572,other,False,True,False
finance/utils.py,finance,utils.py,.py,1000,2025-11-27T11:05:30.607127,other,False,True,False
finance/cashflow_v14_production.py,finance,cashflow_v14_production.py,.py,2328,2025-12-08T12:22:42.571588,cashflow,False,True,False
finance/cashflow_v14_utils.py,finance,cashflow_v14_utils.py,.py,6209,2025-12-09T19:13:28.489248,cashflow,False,True,False
finance/tax_v14.py,finance,tax_v14.py,.py,3430,2025-11-27T11:05:30.609672,other,False,True,False
finance/fx_v14.py,finance,fx_v14.py,.py,8266,2025-12-12T07:25:41.361276,fx,False,True,False
finance/irr.py,finance,irr.py,.py,12255,2025-12-02T21:36:48.050847,other,False,True,False
analytics/schema_guard.py,analytics,schema_guard.py,.py,18837,2025-12-12T02:17:13.490305,validation,True,False,False
analytics/sensitivity_tail_risk.py,analytics,sensitivity_tail_risk.py,.py,13777,2025-12-11T12:55:31.562399,sensitivity,True,False,False
analytics/sensitivity_v14.py,analytics,sensitivity_v14.py,.py,67809,2025-12-12T07:25:42.335544,sensitivity,True,False,False
analytics/sensitivity_visualization.py,analytics,sensitivity_visualization.py,.py,4091,2025-12-08T07:51:59.218541,sensitivity,True,False,False
analytics/evaluation_v14.py,analytics,evaluation_v14.py,.py,40999,2025-12-12T08:27:01.967174,gateway,True,False,False
analytics/contracts_v14.py,analytics,contracts_v14.py,.py,42539,2025-12-10T18:30:13.308805,contract,True,False,False
analytics/config_schema.py,analytics,config_schema.py,.py,3738,2025-12-05T08:53:41.953163,validation,True,False,False
analytics/monte_carlo_v14.py,analytics,monte_carlo_v14.py,.py,41107,2025-12-11T13:00:19.126393,other,True,False,False
analytics/sensitivity_export.py,analytics,sensitivity_export.py,.py,5894,2025-12-08T05:59:12.784629,sensitivity,True,False,False
analytics/sensitivity_pareto.py,analytics,sensitivity_pareto.py,.py,4493,2025-12-08T07:51:59.208142,sensitivity,True,False,False
analytics/export_helpers.py,analytics,export_helpers.py,.py,26170,2025-12-05T08:53:42.572124,other,True,False,False
analytics/__init__.py,analytics,__init__.py,.py,1993,2025-12-07T19:08:03.503196,other,True,False,False
analytics/kpi_normalizer.py,analytics,kpi_normalizer.py,.py,4737,2025-11-27T11:05:30.555448,other,True,False,False
analytics/README.md,analytics,README.md,.md,5999,2025-11-28T18:26:14.294424,other,True,False,False
analytics/scenario_manager.py,analytics,scenario_manager.py,.py,2358,2025-12-08T18:05:33.546976,other,True,False,False
analytics/scenario_analytics.py,analytics,scenario_analytics.py,.py,20615,2025-12-02T19:58:50.302296,other,True,False,False
analytics/evaluate_scenario.py,analytics,evaluate_scenario.py,.py,7954,2025-12-08T05:59:11.984632,other,True,False,False
analytics/casper_payload.py,analytics,casper_payload.py,.py,10345,2025-12-11T04:41:39.297315,other,True,False,False
analytics/scenario_loader.py,analytics,scenario_loader.py,.py,6050,2025-11-27T11:05:30.570805,other,True,False,False
analytics/pipeline_v14.py,analytics,pipeline_v14.py,.py,14491,2025-12-07T20:26:15.113217,pipeline,True,False,False
