scenario,equity_irr,project_irr,equity_npv,project_npv,dscr_min,llcr_min,plcr_min
8345,0.1579146723219511,0.10884769132394778,11102988.70412159,8296771.50631096,1.2999999999999998,1.6337890892598899,1.6337890892598899
8346,0.15494846408557028,0.10763589492793679,10493364.489847582,7368815.482787469,1.2999999999999998,1.619899308953469,1.619899308953469
8347,0.17773051609849366,0.11769453391007123,15756244.489322439,14905346.903117217,1.2999999999999998,1.7522610402725531,1.7522610402725531
8348,0.23091471350526382,0.1410132866336402,31777794.40939424,34703100.97874167,1.2999999999999998,2.0592896783694385,2.0592896783694385
8349,0.17055338296473943,0.11445401100083497,15476935.715633512,13828840.76618974,1.3,1.7074439871892777,1.7074439871892777
8350,0.17137480421349527,0.1148957913889288,13271857.240235338,11985673.772352315,1.3,1.7151725191909397,1.7151725191909397
8351,0.17834336911440407,0.11797443034431598,16501397.41512885,15674155.472982101,1.3,1.756182774920987,1.756182774920987
8352,0.15260100449078462,0.10651350716844488,9106855.76842782,5897674.9436888145,1.2999999999999998,1.6028579469028008,1.6028579469028008
8353,0.1259720703191458,0.09518107994159863,1648977.8460047569,-4700985.79994134,1.3,1.4514568858244261,1.4514568858244261
8354,0.194546603233962,0.1252285089508618,23516998.25827,24041478.209280234,1.3,1.8524458758577584,1.8524458758577584
8355,0.15911845648764378,0.1093045542130191,11550354.146050598,8794383.658961775,1.2999999999999998,1.6379366743813402,1.6379366743813402
8356,0.22465540221607472,0.13832615607747223,30343533.30162563,32904940.81517497,1.2999999999999998,2.0230440331606303,2.0230440331606303
8357,0.2170759580005832,0.13506595209779748,27353404.173181307,29363448.541049384,1.3,1.9803701926019044,1.9803701926019044
8358,0.2115935030756919,0.1325861207182124,24711487.41417133,26255171.23395788,1.3,1.9463851835757147,1.9463851835757147
8359,0.18553660724169196,0.12111489168018208,20918034.69380315,20610473.634908002,1.2999999999999998,1.7959128245432268,1.7959128245432268
8360,0.10296769730511479,0.08182304606131452,-3680295.2088815006,-15032026.197353803,1.2999999999999998,0.5033748976559366,0.5033748976559366
8361,0.13674022960837862,0.09957076940395826,3933372.1889709737,-343516.7300605504,1.3,1.507955220623816,1.507955220623816
8362,0.16701092095443837,0.1129822258285813,13657200.078107385,11825344.876849003,1.2999999999999998,1.6913307007146428,1.6913307007146428
8363,0.21349719858830807,0.13360943685891358,28778812.53835602,30756281.16154261,1.2999999999999998,1.9644571969661218,1.9644571969661218
8364,0.14675856454402236,0.1039487801000476,5998672.106741002,2914410.974159166,1.3,1.5686882466686176,1.5686882466686176
8365,0.1910170966464786,0.12365709663251545,20055370.837534864,20257677.15022308,1.3,1.83128740766618,1.83128740766618
8366,0.20236360886455085,0.12846330377353765,24390652.748245295,25383542.946634267,1.3,1.890510086059339,1.890510086059339
8367,0.09487414944254069,0.07500176157657479,-6220223.53425711,-23401724.242848113,1.3,0.2547728503048433,0.2547728503048433
8368,0.2267767137263328,0.1392598311900035,33321742.854508188,36233193.32681707,1.2999999999999998,2.036231495153887,2.036231495153887
8369,0.1434830746286131,0.10256759946938243,6008558.773186617,2180173.1183851166,1.3,1.5510820389271402,1.5510820389271402
8370,0.19904051052468597,0.1271009317173879,24376050.37268482,25195098.872078832,1.3,1.874889835628561,1.874889835628561
8371,0.20319630656619636,0.12895123351916626,25776207.30865564,26932604.2920046,1.3,1.9000660921799157,1.9000660921799157
8372,0.1395053909788495,0.10080684379325988,5211667.556958388,725724.3791584035,1.2999999999999998,1.5260872067244307,1.5260872067244307
8373,0.21716706455639612,0.13524503319784587,33966495.523355804,36528911.06219248,1.3,1.9862280233431258,1.9862280233431258
8374,0.1663151927364963,0.1125555197546646,13134236.611303592,11214010.645047758,1.3,1.682636981406835,1.682636981406835
8375,0.19583158882120366,0.1256957854611649,21980849.21447557,22516068.484113783,1.2999999999999998,1.8562288722740625,1.8562288722740625
8376,0.2970028040967865,0.16828933381468025,47830022.769565396,54099376.72029523,1.2999999999999998,2.4208351529348104,2.4208351529348104
8377,0.18439264561927238,0.12073050917112882,17920698.8625934,17620154.731795408,1.3,1.7941580968931998,1.7941580968931998
8378,0.16143719097592468,0.11029999500416698,12240649.721258705,9700378.37200721,1.3,1.6504720319419004,1.6504720319419004
8379,0.2138380674950533,0.13356002793338195,31279360.73250325,33362478.270037092,1.3,1.9587471119955941,1.9587471119955941
8380,0.1277193180001417,0.09593683978289591,2179403.939790241,-4014635.285627896,1.2999999999999998,1.4629911193198093,1.4629911193198093
8381,0.20141313615003997,0.12841960704628996,24933525.890731048,26049132.52144657,1.3,1.8995021250965656,1.8995021250965656
8382,0.19674705146339422,0.12611025653180663,23694927.13939876,24342803.38992127,1.3,1.8620937589699222,1.8620937589699222
8383,0.10654861403769633,0.0857582080413557,-2950653.6843420505,-12056357.989263278,1.3,1.247531338968965,1.247531338968965
8384,0.15627139240048304,0.108189954773102,10510926.20051561,7611830.374573801,1.3,1.6266868129155623,1.6266868129155623
8385,0.12124618800717357,0.09328592685827308,328698.0925163147,-6387853.717520695,1.2999999999999998,1.4255321051942114,1.4255321051942114
8386,0.18119953745907735,0.11926718806351455,17665172.830901973,17071049.823977496,1.3,1.7738820643843274,1.7738820643843274
8387,0.16727706050861535,0.11297935257062708,14961510.960223662,12915336.68109782,1.3,1.6880414045216405,1.6880414045216405
8388,0.1631295690255412,0.11114905817726295,14319657.854147613,11726931.300167682,1.3,1.6644021275431071,1.6644021275431071
8389,0.2153895967443613,0.1342366742133314,25973346.489121012,27775047.467842966,1.3,1.9673992070738722,1.9673992070738722
8390,0.1480261740437261,0.10450571462083014,7896235.369394222,4164149.243006603,1.2999999999999998,1.5762823243537591,1.5762823243537591
8391,0.1709616927563744,0.11456074288252682,13385533.550385524,11967106.208195258,1.3,1.7068163204976847,1.7068163204976847
8392,0.10421281163143958,0.08309373235309625,-3822880.502346864,-15684209.823006185,1.2999999999999998,0.6233619406787355,0.6233619406787355
8393,0.24134884304416948,0.1452465252590427,28654061.058574583,31536088.38242604,1.2999999999999998,2.110007564459959,2.110007564459959
8394,0.17873691487740095,0.11806936729721995,15459171.887656126,14682474.443369461,1.3,1.7553595433273208,1.7553595433273208
8395,0.18216833812199562,0.11963763124941185,17288572.096613504,16764709.885046894,1.2999999999999998,1.7771762090502987,1.7771762090502987
8396,0.1776173564140544,0.11760908931813407,15205846.434736148,14357735.200795898,1.3,1.7502040974614894,1.7502040974614894
8397,0.22028295900566475,0.13646851437006058,27167135.66986399,29304138.180956937,1.2999999999999998,1.9984079111478186,1.9984079111478186
8398,0.14937220999418943,0.10504572209022256,8246568.550258221,4638137.87771113,1.3,1.5821210250594646,1.5821210250594646
8399,0.18817194040442375,0.12227507147735617,21459291.782442305,21381335.264371473,1.3,1.810588903505475,1.810588903505475
8400,0.20083971952343838,0.12786278573658083,23490373.897823483,24381935.657266796,1.2999999999999998,1.8842950684558466,1.8842950684558466
8401,0.09273423862900221,0.07357913364670488,-7351076.228528153,-26773306.909982167,1.3,0.23625374838976035,0.23625374838976035
8402,0.1434275985731186,0.10264199167343113,7099019.732814141,2646920.628247468,1.3,1.5549638874717475,1.5549638874717475
8403,0.23037565208546984,0.14089165572863993,32657375.12168152,35681124.58757786,1.3,2.0604298636211995,2.0604298636211995
8404,0.08484932820350832,0.06792815456705315,-9253801.025237385,-31273147.39487673,1.2999999999999998,0.17431597921333608,0.17431597921333608
8405,0.22747426338096255,0.13937817966671573,33407903.769544583,36288911.70551295,1.3,2.033273695725828,2.033273695725828
8406,0.2524102189648847,0.15023122701780456,35129257.68404652,39065922.573817514,1.3,2.1827005110870736,2.1827005110870736
8407,0.17022502269030926,0.1144245031396256,13554145.099553842,12134731.837365726,1.2999999999999998,1.7101850664921538,1.7101850664921538
8408,0.23218585666483071,0.1417729707348223,32971728.16020584,36126303.88527621,1.3,2.074946513664269,2.074946513664269
8409,0.21935763517887974,0.13610883991936928,30899977.20990566,33303168.091171395,1.3,1.9948514141437834,1.9948514141437834
8410,0.1758905111641762,0.1169512400114745,16751141.447886556,15694285.165187199,1.3,1.7442789974812907,1.7442789974812907
8411,0.2064670557054007,0.13025721695186765,23662131.76020277,24855945.167826533,1.3,1.9139595578405635,1.9139595578405635
8412,0.1262165968706419,0.09528081963910173,1838381.1778368463,-4925474.080052825,1.2999999999999998,1.452815189120885,1.452815189120885
8413,0.19699616851304014,0.12632324697175945,21929286.136308074,22588307.842411235,1.2999999999999998,1.8675933208975424,1.8675933208975424
8414,0.18691876642704242,0.12156892693109445,17762553.899638694,17540103.754581824,1.3,1.7976577759270815,1.7976577759270815
8415,0.19647774047893263,0.12613018868396586,25605208.700070344,26352984.818254095,1.3,1.8659041852294664,1.8659041852294664
8416,0.16214777371395406,0.11069669621569456,12928288.573508056,10420129.916999709,1.3,1.6579495739221248,1.6579495739221248
8417,0.06278029643732741,0.05157790363339454,-14069030.648165982,-42478485.60628693,1.3,0.09145187354195503,0.09145187354195503
8418,0.16839457221777776,0.1135059655701316,12362168.623889105,10817880.636846313,1.2999999999999998,1.6956346322492426,1.6956346322492426
8419,0.1772206286619198,0.1174893637515344,14538035.641048059,13717583.43059863,1.3,1.7500859897173378,1.7500859897173378
8420,0.13760895911582094,0.100096322846565,5191196.117906389,95770.36894854181,1.3,1.5196536831076561,1.5196536831076561
8421,0.22092908081921414,0.13675071594781052,27088040.984453235,29245345.838242043,1.2999999999999998,2.0023509065156917,2.0023509065156917
8422,0.16917384742922215,0.11387401252342033,14404837.744981393,12719284.62302384,1.3,1.7009346752512202,1.7009346752512202
8423,0.19661962431127478,0.12606121360608613,24450496.691754974,25113045.996038705,1.3,1.8616145277015608,1.8616145277015608
8424,0.19155121532014907,0.12402639823654482,22747339.432755772,23085533.28323312,1.2999999999999998,1.839416754811787,1.839416754811787
8425,0.27551011793512226,0.15986967780954053,45358964.10714705,51029903.60183383,1.3,2.314758413716866,2.314758413716866
8426,0.2333589568509864,0.14187830392764567,32487777.495618194,35506320.51970222,1.3,2.0663038282520607,2.0663038282520607
